name,description,authors,input_args,input_named_args,output_args,output_named_args,param_args,param_named_args
faToTwoBit,"Convert *.fa file to *.2bit file (see http://hgdownload.soe.ucsc.edu/admin/exe/linux.x86_64/FOOTER.txt)
",Roman Cherniatchik,0,0,0,0,0,0
twoBitInfo,"Generate *.chorom.sizes file by *.2bit file (see http://hgdownload.soe.ucsc.edu/admin/exe/linux.x86_64/FOOTER.txt)
",Roman Cherniatchik,0,0,0,0,0,0
twoBitToFa,"Convert *.2bit file to *.fa file (see http://hgdownload.soe.ucsc.edu/admin/exe/linux.x86_64/FOOTER.txt)
",Roman Cherniatchik,0,0,0,0,0,0
bedGraphToBigWig,"Convert *.bedGraph file to *.bw file (see http://hgdownload.soe.ucsc.edu/admin/exe/linux.x86_64/FOOTER.txt)
",Roman Cherniatchik,0,0,0,0,0,0
infernal cmpress,"Starting from a CM database <cmfile> in standard Infernal-1.1 format, construct binary compressed datafiles for cmscan. Infernal ('INFERence of RNA ALignment') is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs). A CM is like a sequence profile, but it scores a combination of sequence consensus and RNA secondary structure consensus, so in many cases, it is more capable of identifying RNA homologs that conserve their secondary structure more than their primary sequence.",N. Tessa Pierce,0,0,0,0,0,0
infernal cmscan,"cmscan is used to search sequences against collections of covariance models that have been prepared with cmpress. The output format is designed to be human-            readable, but is often so voluminous that reading it is impractical, and parsing it is a pain. The --tblout option saves output in a simple tabular  format that is concise and easier to parse. The -o option allows redirecting the main output, including throwing it away in /dev/null. Infernal ('INFERence of RNA ALignment') is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs). A CM is like a sequence profile, but it scores a combination of sequence consensus and RNA secondary structure consensus, so in many cases, it is more capable of identifying RNA homologs that conserve their secondary structure more than their primary sequence.",N. Tessa Pierce,0,0,0,0,0,0
fastq_screen,"`fastq_screen <http://www.bioinformatics.babraham.ac.uk/projects/fastq_screen>`_
screens a library of sequences in FASTQ format against a set of sequence
databases so you can see if the composition of the library matches with what
you expect.

This wrapper allows the configuration to be passed as a filename or as
a dictionary in the rule's  `params.fastq_screen_config` of the rule. So the
following configuration file::

  DATABASE	ecoli	/data/Escherichia_coli/Bowtie2Index/genome	BOWTIE2
  DATABASE	ecoli	/data/Escherichia_coli/Bowtie2Index/genome	BOWTIE
  DATABASE	hg19	/data/hg19/Bowtie2Index/genome	BOWTIE2
  DATABASE	mm10	/data/mm10/Bowtie2Index/genome	BOWTIE2
  BOWTIE	/path/to/bowtie
  BOWTIE2	/path/to/bowtie2

becomes::

  fastq_screen_config = {
   'database': {
     'ecoli': {
       'bowtie2': '/data/Escherichia_coli/Bowtie2Index/genome',
       'bowtie': '/data/Escherichia_coli/BowtieIndex/genome'},
     'hg19': {
       'bowtie2': '/data/hg19/Bowtie2Index/genome'},
     'mm10': {
       'bowtie2': '/data/mm10/Bowtie2Index/genome'}
   },
   'aligner_paths': {'bowtie': 'bowtie', 'bowtie2': 'bowtie2'}
  }

By default, the wrapper will use bowtie2 as the aligner and a subset of 100000
reads.  These can be overridden using ``params.aligner`` and ``params.subset``
respectively. Furthermore, `params.extra` can be used to pass additional
arguments verbatim to ``fastq_screen``, for example ``extra=""--illumina1_3""`` or
``extra=""--bowtie2 '--trim5=8'""``.
",Ryan Dale,0,0,0,0,0,0
tabix,"Process given file with tabix (e.g., create index).",Johannes Köster,0,0,0,0,0,0
arriba,Detect gene fusions from chimeric STAR output,Jan Forster,0,0,0,0,0,0
picard SortSam,"Sort sam/bam files using picard tools.
",Julian de Ruiter,0,0,0,0,0,0
picard CollectHSMetrics,"Collects hybrid-selection (HS) metrics for a SAM or BAM file using picard.
",Julian de Ruiter,0,0,0,0,0,0
picard CollectInsertSizeMetrics,"Collect metrics on insert size of paired end reads with picard tools.
",Johannes Köster,0,0,0,0,0,0
picard CollectTargetedPcrMetrics,"Collect metric information for target pcr metrics runs, with picard tools.
",Patrik Smeds,0,0,0,0,0,0
picard SomToFastq,"Converts a SAM or BAM file to FASTQ.
",Patrik Smeds,0,0,0,0,0,0
picard CreateSequenceDictionary,"Create a .dict file for a given FASTA file
",Johannes Köster,0,0,0,0,0,0
picard RevertSam,"Reverts SAM or BAM files to a previous state. .
",Patrik Smeds,0,0,0,0,0,0
picard MergeVcfs,"Merge vcf files using picard tools.
",Johannes Köster,0,0,0,0,0,0
picard AddOrReplaceReadGroups,Add or replace read groups with picard tools.,Johannes Köster,0,0,0,0,0,0
picard CollectAlignmentSummaryMetrics,"Collect metrics on aligned reads with picard tools.
",Johannes Köster,0,0,0,0,0,0
picard MarkDuplicates,"Mark PCR and optical duplicates with picard tools.
",Johannes Köster,0,0,0,0,0,0
picard MergeSamFiles,"Merge sam/bam files using picard tools.
",Julian de Ruiter,0,0,0,0,0,0
pear,"PEAR is an ultrafast, memory-efficient and highly accurate pair-end read merger",N. Tessa Pierce,0,0,0,0,0,0
igv-reports,Create self-contained igv.js HTML pages.,Johannes Köster,0,0,0,0,0,0
tximport,"Import and summarize transcript-level estimates for both transcript-level
and gene-level analysis.
",Thibault Dayris,0,0,0,0,0,0
lastal,"LAST finds similar regions between sequences, and aligns them. It is designed for comparing large datasets to each other (e.g. vertebrate genomes and/or large numbers of DNA reads)",N. Tessa Pierce,0,0,0,0,0,0
lastdb,"LAST finds similar regions between sequences, and aligns them. It is designed for comparing large datasets to each other (e.g. vertebrate genomes and/or large numbers of DNA reads)",N. Tessa Pierce,0,0,0,0,0,0
pre.py,Preprocessing/normalisation of vcf/bcf files. Part of the hap.py suite by Illumina (see https://github.com/Illumina/hap.py/blob/master/doc/normalisation.md).,Jan Forster,0,0,0,0,0,0
trinity,"Generate transcriptome assembly with Trinity
",Tessa Pierce,0,0,0,0,0,0
cutadapt-se,"Trim single-end reads using cutadapt.
",Julian de Ruiter,0,0,0,0,0,0
cutadapt-pe,"Trim paired-end reads using cutadapt.
",Julian de Ruiter David Laehnemann,0,0,0,0,0,0
multiqc,"Generate qc report using multiqc.
",Julian de Ruiter,0,0,0,0,0,0
bowtie2,Map reads with bowtie2.,Johannes Köster,0,0,0,0,0,0
hisat2 align,"Map reads with hisat2.
",Wibowo Arindrarto,0,0,0,0,0,0
hisat2 index,"Create index with hisat2.
",Joël Simoneau,0,0,0,0,0,0
nanosim-h,"NanoSim-H is a simulator of Oxford Nanopore reads that captures the technology-specific features of ONT data, and allows for adjustments upon improvement of Nanopore sequencing technology.",Michael Hall,0,0,0,0,0,0
primerclip,"Primer trimming on sam file, https://github.com/swiftbiosciences/primerclip
",Patrik Smeds,0,0,0,0,0,0
vcftools filter,Filter vcf files using vcftools,Patrik Smeds,0,0,0,0,0,0
art_profiler_illumina,Use the art profiler to create a base quality score profile for Illumina read data from a fastq file.,David Laehnemann Victoria Sack,0,0,0,0,0,0
MSIsensor msi,Score your MSI with MSIsensor,,0,0,0,0,0,0
MSIsensor Scan,Scan homopolymers and microsatelites with MSIsensor,,0,0,0,0,0,0
bcftools concat,Concatenate vcf/bcf files with bcftools.,Johannes Köster,0,0,0,0,0,0
bcftools merge,Merge vcf/bcf files with bcftools.,Patrik Smeds,0,0,0,0,0,0
bcftools reheader,Change header or sample names of vcf/bcf file.,Jan Forster,0,0,0,0,0,0
bcftools norm,"Left-align and normalize indels, check if REF alleles match the reference, split multiallelic sites into multiple rows; recover multiallelics from multiple rows.",Dayne Filer,0,0,0,0,0,0
bcftools call,Call variants with bcftools.,Johannes Köster,0,0,0,0,0,0
bcftools view,View vcf/bcf file in a different format.,Johannes Köster,0,0,0,0,0,0
bcftools index,Index vcf/bcf file.,Jan Forster,0,0,0,0,0,0
sickle se,Trim single-end reads with sickle.,Wibowo Arindrarto,0,0,0,0,0,0
sickle pe,Trim paired-end reads with sickle.,Wibowo Arindrarto,0,0,0,0,0,0
